species_name,latitude,longitude,location_description,depth_range,,,,
Salvelinus alpinus,NA,NA,"Circumpolar; in Alaska, in Arctic, Bering Sea, and western Gulf of Alaska drainages",NA,,,,
Salvelinus confluentus,NA,NA,"Mostly freshwater but spends perhaps two months in saltwater moving between freshwater drainages; headwaters of Mackenzie and Yukon Rivers to north-central Nevada, including Salish Sea, Columbia River, coastal drainages of Washington and British Columbia, and Klamath River drainage",NA,,,,
Salvelinus malma,NA,NA,"Korean Peninsula and Japan to Chukchi Peninsula, Arctic Alaska, and Mackenzie River, Canada to northern Washington",NA,,,,
Stenodus leucichthys,NA,NA,"Arctic Alaska eastward to Anderson River, Northwest Territory, Canada, and southward to northern Bering Sea drainages; Siberia to White Sea and southward to Kamchatka; Caspian Sea drainages",NA,,,,
Cyclothone acclinidens,NA,NA,Circumglobal; western Pacific Ocean north to southern Japan; Oregon to central Chile,"20–3,190 m",,,,
Cyclothone alba,NA,NA,Circumglobal; western Pacific Ocean north to Japan and Russian north-western Pacific; Bering Sea to Chile,"near surface to about 4,000 m",,,,
Cyclothone atraria,NA,NA,"Sea of Okhotsk, Bering Sea, and North Pacific Ocean to Chile, including Gulf of California","near surface to 3,400 m",,,,
Cyclothone braueri,35°18.7'N;24°37.1'N,113°05.5'W;113°14.3'W,"Central California; Isla Guadalupe, central Baja California; off southern Baja California","10–2,000 m",,,,
Cyclothone microdon,54°11'N;33°46.8'N,134°35'W;119°36.9'W,"Haida Gwaii, British Columbia; Santa Cruz Island, southern California; Isla Guadalupe, central Baja California","0–5,301 m",,,,
Cyclothone pallida,NA,NA,"Circumglobal primarily in warm waters; western Pacific Ocean north to Japan, Kuril Islands, and southern Bering Sea, to Chile","near surface to 3,190 m",,,,
Cyclothone pseudopallida,77°41'N,NA,"Western Pacific Ocean north to Japan, and Bering Sea to Chile; the first record from the Arctic Ocean, from the Laptev Sea","surface to about 3,000 m",,,,
Cyclothone signata,NA,NA,North and South Pacific Ocean; Bering Sea and eastern North Pacific Ocean to Chile,"near surface to 1,130 m",,,,
Diplophos proximus,NA,NA,Southern California to Costa Rica and Islas Galápagos,"20–1,440 m",,,,
Diplophos taenia,NA,NA,"Circumglobal; western Pacific Ocean north to northern Japan; eastern Pacific at 40°N to 30°S, not in tropical Pacific Ocean",near surface to 800 m,,,,
Gonostoma atlanticum,NA,NA,Circumglobal; western Pacific Ocean north to Japan; Oregon to at least Baja California,"50–2,500 m",,,,
Sigmops elongatus,NA,NA,Circumglobal; western Pacific Ocean north to northern Japan; well offshore from California and Baja California to Chile,"25–1,500 m",,,,
Sigmops ebelingi,NA,NA,Western and eastern Pacific; offshore California and Baja California,"50–1,464 m",,,,
Sigmops gracilis,57°45'N;40°54'N,173°56'W;124°29'W,Central and northern Japan; eastern Bering Sea and eastern North Pacific Ocean as far south as northern California,"near surface to 4,389 m",,,,
Argyropelecus aculeatus,34°53.6'N;01°59'N,121°30.2'W;84°15'W,Circumglobal; western Pacific Ocean north to northern Japan; central California to at least Ecuador,"160–2,250 m",,,,
Argyropelecus affinis,NA,NA,Circumglobal; western Pacific Ocean north to Japan; Oregon to northern Chile,"50–2,056 m",,,,
Argyropelecus hemigymnus,NA,NA,Circumglobal; western Pacific Ocean north to Japan and Russian north-western Pacific; Washington to Chile,"50–3,065 m",,,,
Argyropelecus lychnus,59.09°N,147.01°W,"Gulf of Alaska to Chile, including Islas Galápagos","66–2,124 m",,,,
Argyropelecus sladeni,NA,NA,"Circumglobal; western Pacific Ocean north to Japan; western Bering Sea, British Columbia to Chile","0–1,200 m",,,,
Danaphos oculatus,50°07'N,128°18'W,"Off the Brooks Peninsula, British Columbia to Chile",52–914 m,,,,
Maurolicus muelleri,NA,NA,Circumglobal; British Columbia,"0–3,527 m",,,,
Sternoptyx diaphana,NA,NA,Circumglobal; western Pacific Ocean north to Japan to Kuril Islands; Oregon to northern Chile,"surface to 2,374 m",,,,
Sternoptyx obscura,NA,NA,"Circumglobal; western Pacific Ocean north to Japan; at least Monterey Bay, central California to Peru–Chile border","surface to 1,393 m",,,,
Sternoptyx pseudobscura,NA,NA,Circumglobal; western Pacific Ocean north to Japan; British Columbia to Chile,"156–2,300 m",,,,
Valenciennellus tripunctulatus,NA,NA,"Circumglobal; western Pacific Ocean north to central Japan; well offshore California, and east side of Isla Guadalupe, central Baja California","36–3,000 m",,,,
Ichthyococcus elongatus,50°07'N,128°18'W,"Western Pacific Ocean north to Japan and southern Kuril Islands; near Vancouver Island, British Columbia to southern Baja California","100–1,948 m",,,,
Ichthyococcus irregularis,NA,NA,"Monterey, central California to Peru, including Islas Galápagos","200–3,658 m",,,,
Vinciguerria lucetia,NA,NA,"Larvae found as far north as off San Francisco, northern California and metamorphosing individuals found as far north as central California to northern Chile, including Gulf of California","surface perhaps to 4,409 m",,,,
Vinciguerria nimbaria,NA,NA,"Circumglobal; western Pacific Ocean north to Japan; within our range, well off San Simeon, central California to Chile","surface to 3,000 m",,,,
Vinciguerria poweriae,NA,NA,"Circumglobal; western Pacific Ocean north to Japan; Vancouver Island, British Columbia to Chile","0–3,000 m",,,,
Woodsia nonsuchae,33°54'N,120°38'W,"Southern California; Isla Guadalupe, central Baja California","530–1,335 m",,,,
Aristostomias scintillans,59°09'N;23°17'N,146°06'W;120°33'W,Russian north-western Pacific; Gulf of Alaska to southern Baja California; also near equator,"29–1,357 m",,,,
Bathophilus brevis,NA,NA,"Circumglobal; western Pacific Ocean north to Ogasawara Islands; Point Sal, central California to Chile","75–1,650 m",,,,
Bathophilus filifer,NA,NA,"Eastern and central tropical Pacific; Isla Guadalupe, central Baja California to Chile","surface to perhaps 2,947 m",,,,
Bathophilus flemingi,03°12'S,119°26'W,Gulf of Alaska,"less than 60 m to 1,372 m",,,,
Borostomias panamensis,42°39'N,124°55'W,Oregon to Chile,"91–2,743 m",,,,
Chauliodus macouni,NA,NA,"Southern Japan to Bering Sea, to central Baja California and Gulf of California","25–4,390 m",,,,
Chauliodus sloani,33°29'N,124°09'W,"Circumglobal; western Pacific Ocean north to northern Japan, and Russian north-western Pacific Ocean; well off southern California and Isla Guadalupe, central Baja California","0–3,527 m",,,,
Eustomias perplexus,23°05'N,119°08'W,Indo-Pacific; perhaps one specimen captured well off southern Baja California,perhaps to about 300 m,,,,
Flagellostomias boureei,32°18'N; 25°30'N,121°44'W; 116°W,Circumglobal; western Pacific Ocean north to Japan; off Point Conception and southern California to southern Baja California,"0–1,825 m",,,,
Idiacanthus antrostomus,50°48'N,129°06'W,"Western Pacific Ocean north to Hokkaido, Japan; Triangle Island, British Columbia to Chile","surface to 2,161 m",,,,
Idiacanthus fasciola,4°13’S,85°01’W,"Circumglobal; Oregon to off Ecuador,surface to 2,000 m",,,,,
Malacosteus niger,NA,NA,Circumglobal; western Pacific Ocean north to Japan; western Bering Sea northeast of Commander Islands; British Columbia to Chile,"surface to 3,886 m",,,,
Melanostomias valdiviae,NA,NA,"Circumglobal; western Pacific Ocean north to Japan; San Juan Seamount, southern California and well-off Point Conception, California, and Isla Guadalupe, central Baja California","0–1,460 m",,,,
Neonesthes capensis,35°49'N;33°02'N,NA,"Circumglobal; western Pacific Ocean north to Japan; central California to San Clemente Island, southern California","0–1,975 m",,,,
Opostomias mitsuii,48°41'N,126°29'W,"Western Pacific Ocean off Japan and southern Kuril Islands; British Columbia to off Point Conception, California","surface to 1,514 m",,,,
Pachystomias microdon,27°27'N,155°27'W,"Circumglobal; western Pacific Ocean north to northern Japan, and Russian north-western Pacific; southern Bering Sea, Alaska, Gulf of Alaska and Washington; also eastern Pacific in North Central Gyre at latitude of central Baja California","240–4,463 m",,,,
Photonectes margarita,40°54'N;NA,NA,"Circumglobal; western Pacific Ocean north to Japan; Off northern California to northern Baja California and Isla Guadalupe, central Baja California","surface to 3,290 m",,,,
Rhadinesthes decimus,NA,NA,Circumglobal; Central Japan; Alaska; Oregon; Chile,"perhaps as deep as 4,900 m",,,,
Stomias atriventer,48°N;NA,NA,Washington to Gulf of California to northern Chile,"15–2,124 m",,,,
Tactostoma macropus,NA,NA,"Japan, and Sea of Okhotsk to Bering Sea to Chile","25 m or less to 4,100 m",,,,
Aulopus bajacali,NA,NA,"Banco de Tio Sam (Uncle Sam Bank), southern Baja California; Loreto, Gulf of California; southwest portion of Gulf of California",75–513 m or more,,,,
Synodus evermanni,NA,NA,"Bahía de Sebastian Vizcaino, southern Baja California to Bahía de Chilea, Peru, including Gulf of California",surface (nightlight) to 300 m,,,,
Synodus lacertinus,NA,NA,"From 6 km (4 mi) south of U.S.–Mexican border to Chile, including Gulf of California and Islas Galápagos",surface (nightlight) to 156 m,,,,
Synodus lucioceps,NA,NA,"Cape Beal, British Columbia to Guaymas, Gulf of California",surface (nightlight) to 250 m,,,,
Synodus scituliceps,31°51'N;NA,116°38'W;NA,"Ensenada Bay, northern Baja California, Isla Guadalupe, central Baja California and Laguna San Ignacio, southern Baja California into Gulf of California to Chile and Islas Galápagos",surface (nightlight) to 172 m,,,,
Synodus sechurae,NA,NA,"Bahía Magdalena, southern Baja California to Bahía de Sechura, Peru, including Gulf of California",3–117 m,,,,
Benthalbella dentata,59°07'N;10°21'N;10°31.3'N,146°55'W;96°12'W;126°00'W,"Japan, to Sea of Okhotsk, and western Bering Sea, eastern Bering Sea, and Gulf of Alaska to Isla Guadalupe, central Baja California","59–1,502 m",,,,
Benthalbella linguidens,NA,NA,"Northern Japan, and southern Kuril Islands; south-eastern Gulf of Alaska and British Columbia to Gulf of California","surface to 3,660 m",,,,
Rosenblattichthys volucris,33°50'N,121°48'W,"Southern California to southern Baja California, eastern equatorial Pacific, and off Chile","0–3,294 m",,,,
Scopelarchoides nicholsi,NA,NA,"Atlantic and Pacific Oceans; Santa Catalina Basin, southern California to Chile","surface to 3,294 m",,,,
Scopelarchus analis,NA,NA,Circumglobal; western Pacific Ocean north to Japan; southern California and Baja California to Chile,"0–4,000 m",,,,
Scopelarchus guentheri,NA,NA,Circumglobal; western Pacific Ocean north to southern-most Japan; southern California to central Baja California and Peru to Chile,"0–4,000 m",,,,
Evermannella ahlstromi,NA,NA,"Northern Baja California to equatorial Pacific Ocean, and off Peru","200–1,830 m",,,,
Alepisaurus ferox,58°21'N,175°19'W,"Circumglobal; western Pacific Ocean north to Japan, and Sea of Okhotsk, to Bering Sea and Aleutian Islands to Chile","near surface to 1,830 m",,,,
Anotopterus nikparini,NA,NA,"South of Japan to southern Bering Sea, and Gulf of Alaska, to south of Baja California","near surface (at night) to 2,750 m",,,,
Arctozenus risso,59°09'N;24°39'N;0°54'N,146°06'W;121°12'W;82°00'W,"Circumglobal; western Pacific Ocean north to Japan, Sea of Okhotsk, and western Bering Sea, to northern Gulf of Alaska and British Columbia to southern Baja California","0–3,465 m",,,,
Lestidiops neles,NA,NA,"Vicinity of Cabo San Lucas, southern Baja California to Colombia, and near Islas Galápagos",22–384 m,,,,
Lestidiops pacificus,32°29'N,117°32'W,Southern California; Gulf of Panama; Chile; north of New Zealand; Colombia,"50 to perhaps 1,003 m",,,,
Lestidiops ringens,58°21'N;26°33'N,147°51'W;115°41'W,"Northern Japan; Pacific Ocean off southern Kuril Islands to southern Kamchatka; western Bering Sea near Alaska border to Gulf of Alaska to southern Baja California, and Gulf of California","surface (nightlight) to 3,920 m",,,,
Lestidiops sphyraenopsis,44°19'N;14°31'N,125°12'W;95°W,Pacific and South Atlantic Oceans; western Pacific Ocean north to Japan,"25–1,440 m",,,,
Lestidium nudum,34°N;8°22'N,119°W;97°52'W,southern California to off central America,"183–1,450 m",,,,
Macroparalepis johnfitchi,29°35'N,115°48'W,"San Clemente Island, southern California to northern Baja California",surf zone–177 m,,,,
Magnisudis atlantica,52°32'N,179°50'W,"Circumglobal, western Pacific Ocean north to Japan, Sea of Okhotsk, and western Bering Sea to Chile","near surface–2,308 m",,,,
Stemonosudis macrura,36°46'N,122°35'W,"Indo-Pacific, western Pacific Ocean north to Ryukyu Islands, central California to Chile","24–2,100 m",,,,
Sudis atrox,32°N,NA,"Probably circumglobal, western Pacific Ocean north to Ryukyu Islands, southern California to Chile","30–2,250 m",,,,
Bathysaurus mollis,44°19'N,125°12'W,"Circumglobal, western Pacific Ocean north to Japan, Oregon to Isla Guadalupe, central Baja California, Clarion Clipperton Zone","1,252–4,981 m",,,,
Ahliesaurus brevis,NA,NA,"Indo-Pacific, western Pacific Ocean north to Japan and southern Kuril Islands, central Baja California","to at least 1,000 m",,,,
Scopelosaurus adleri,35°43'N,122°43'W,"Taiwan to southern Japan, Bering Sea to California","102–1,440 m",,,,
Scopelosaurus harryi,53°25'N;20°N,133°03'W;NA,"Northern Japan, Sea of Okhotsk, Pacific Ocean north of Japan, Bering Sea, British Columbia to southern Baja California","0–1,310 m",,,,
Bathypterois atricolor,30°46'N,116°41'W,"Circumglobal, western Pacific Ocean north to southern Japan, northern Baja California to northern Chile","153–5,150 m",,,,
Bathypterois ventralis,27°07'N,114°36'W,"Indo-Pacific, southern Baja California to Chile","165–1,406 m",,,,
Gigantura indica,34°31'N,NA,"Circumglobal, southern California to northern Baja California, north of Hawaii","17–3,915 m",,,,
Neoscopelus macrolepidotus,41°54'N,124°36'W,"Circumglobal, western Pacific Ocean north to Japan, British Columbia to northern California","249–1,180 m",,,,
Scopelengys tristis,59°07'N;30°S,146°55'W;NA,"Circumglobal, western Pacific Ocean north to Japan and Russian north-western Pacific Ocean, southern Bering Sea and Gulf of Alaska to northern Chile","400–3,350 m",,,,
Benthosema glaciale,NA,NA,"Atlantic Ocean and Mediterranean Sea, one record from Point Barrow, Alaska, Canadian Arctic, Laptev Sea","surface–1,456 m",,,,
Benthosema panamense,32°26'N;9°07'S,118°47'W;80°01'W,"San Clemente Basin, southern California to Peru, including Gulf of California","surface–2,000 m",,,,
Benthosema suborbitale,NA,NA,"Circumglobal, western Pacific Ocean north to Japan and Russian north-western Pacific Ocean, off northern Baja California to Chile","surface–2,500 m",,,,
Bolinichthys longipes,NA,NA,"Indo-Pacific, western Pacific Ocean north to northern Japan, southern California to South America","50–1,440 m",,,,
Bolinichthys pyrsobolus,NA,NA,"Indo-Pacific, well offshore of northern California to northern Baja California and Isla Guadalupe, central Baja California","60–2,000 m",,,,
Centrobranchus nigroocellatus,34°12'N,121°42.6'W,"Circumglobal, off Point Conception, California",surface–700 m,,,,
Ceratoscopelus townsendi,59°15'N;27°01'N,142°08'W;115°15'W,"Circumglobal, Gulf of Alaska to southern Baja California and Chile",surface–923 m,,,,
Diaphus anderseni,32°21'N,120°06'W,"Circumglobal, western Pacific Ocean north to Japan, southern California to central Baja California and Chile","surface–3,450 m",,,,
Diaphus kuroshio,32°N,119°16'W,"Western Pacific Ocean north to Japan, southern California","100–1,537 m",,,,
Diaphus pacificus,34°34'N,122°20'W,"Central California to Peru, including Gulf of California","17–1,314 m",,,,
Diaphus parri,32°54'N,117°30'W,Southern California,"150–1,071 m",,,,
Diaphus theta,NA,NA,"Japan, southern Bering Sea to Chile","surface–4,100 m",,,,
Diaphus trachops,NA,NA,Central Pacific and central California,100–686 m,,,,
Diogenichthys atlanticus,NA,NA,"Circumglobal, western Pacific Ocean north to Japan, northern California to northern Chile","surface–5,041 m",,,,
Diogenichthys laternatus,NA,NA,"Point Conception, California to Chile, including Gulf of California","surface–3,022 m",,,,
Electrona risso,NA,NA,"Circumglobal, western Pacific Ocean north to Japan and southern Kuril Islands, Oregon to Chile","0–2,979 m",,,,
Gonichthys tenuiculus,33°01'N,119°48'W,Southern California to Chile,"67–1,314 m",,,,
Hygophum atratum,NA,NA,Southern California to Chile,"surface–4,268 m",,,,
Hygophum proximum,32°51.6'N;21°27.2'N,123°56.1'W;123°07.2'W,"Indo-Pacific, western Pacific Ocean north to Japan, southern California to Chile","surface–3,820 m",,,,
Hygophum reinhardti,NA,NA,"Circumglobal, western Pacific Ocean north to Japan, eastern Pacific Ocean from about 40°N to Chile","surface–3,346 m",,,,
Lampadena urophaos,NA,NA,"Western Pacific Ocean north to Japan, British Columbia to Chile, and westward to Hawaii","near surface–4,268 m",,,,
Lampadena yaquinae,NA,NA,"Japan and Russian north-western Pacific, Oregon to California","130–3,860 m",,,,
Lampanyctus festivus,35°58'N,122°32'W,"Circumglobal, western Pacific Ocean north to Japan, central California","0–3,600 m",,,,
Lampanyctus jordani,NA,NA,"Japan and Sea of Okhotsk, to Bering Sea, and Gulf of Alaska, to southern California","surface–5,700 m",,,,
Lampanyctus nobilis,33°14'N,121°24'W,"Circumglobal, western Pacific Ocean north to Japan, and east of Kuril Islands, southern California","40–3,080 m",,,,
Lampanyctus parvicauda,NA,NA,Central Baja California to Chile,"9–2,325 m",,,,
Lampanyctus steinbecki,NA,NA,"Indo-Pacific, western Pacific Ocean to northern Japan, northern California to Chile","70–1,830 m",,,,
Lampanyctus tenuiformis,37°06'N,122°50'W,"Circumglobal, western Pacific Ocean north to Japan and Russian north-western Pacific, northern California to South America","10–3,200 m",,,,
Lobianchia gemellari,32°07'N,119°29.2'W,"Circumglobal, western Pacific Ocean north to Japan, well off California, northern Baja California to Chile","surface–3,820 m",,,,
Loweina rara,NA,NA,"Circumglobal, northern California to tropical eastern Pacific","surface–3,290 m",,,,
Myctophum aurolaternatum,29°46'N,115°42'W,"Indo-Pacific, western Pacific Ocean north to Japan, northern Baja California to Chile",surface–342 m,,,,
Myctophum nitidulum,NA,NA,"Circumglobal, western Pacific Ocean north to Japan and east of Kuril Islands, off Brookings, Oregon to Chile","surface–4,268 m",,,,
Nannobrachium bristori,NA,NA,Washington to southern Baja California and in tropical Pacific Ocean,"100–3,274 m",,,,
Nannobrachium fernae,NA,NA,Oregon to northern California,"surface–4,939 m",,,,
Nannobrachium gibbsi,29°37.6'N,117°30'W,"Primarily tropical North Pacific, near Isla Guadalupe","to at least 4,796 m",,,,
Nannobrachium hawaiiensis,NA,NA,"Northern Pacific Ocean central water mass, southern California to central Baja California","106–3,556 m",,,,
Nannobrachium idostigma,33°11'N,118°29'W,Southern California to Chile,"surface–2,744 m",,,,
Nannobrachium nigrum,40°54'N,NA,"Indo-Pacific, western Pacific Ocean north to Honshu, Japan, as far northward as northern California","100–3,841 m",,,,
Nannobrachium regale,NA,NA,"Hokkaido, Japan, and Russian north-western Pacific Ocean, to Bering Sea, to off Bahía Magdalena, southern Baja California","0–3,745 m",,,,
Nannobrachium ritteri,NA,NA,"Eastern North Pacific Ocean south of Aleutian Islands and Gulf of Alaska to southwest of Cabo San Lucas, southern Baja California","8–3,988 m",,,,
Notolychnus valdiviae,NA,NA,"Circumglobal, western Pacific Ocean north to Japan, northern California to Chile","surface–3,346 m",,,,
Parvilux ingens,26°34'N,114°40'W,Oregon to southern Baja California,"2–5,303 m",,,,
Protomyctophum crockeri,26°32.5'N;21°27.2'N,114°55.3'W;123°07.2'W,"Northern Japan, southern British Columbia to southern Baja California, well offshore Baja California further southward, Chile","surface–4,268 m",,,,
Protomyctophum thompsoni,34°29'N,122°28'W,"Northern Japan, to southern Bering Sea, to central California","surface–1,370 m",,,,
Stenobrachius leucopsarus,26°N,115°W,"Southern Japan off Honshu, to southern Bering Sea and Gulf of Alaska, to southern Baja California","0–4,939 m",,,,
Stenobrachius nannochir,NA,NA,"Japan, to southern Bering Sea, to Isla Guadalupe, central Baja California","surface–4,939 m",,,,
Symbolophorus californiensis,24°14'N,114°12'W,"Japan, and Russian north-western Pacific, to west of British Columbia, to southern Baja California","surface–3,824 m",,,,
Symbolophorus evermanni,35°07'N,121°29'W,"Indo-Pacific, western Pacific Ocean north to Tohoku District, Japan, central California to Chile","surface–5,488 m",,,,
Symbolophorus reversus,28°38'N,NA,Eastern and central Pacific Ocean from 28°38'N to Chile,"surface–1,134 m",,,,
Taaningichthys bathyphilus,24°26'N,113°18'W,"Circumglobal, western Pacific Ocean north to Japan, Oregon to southern Baja California, South America","36–2,500 m",,,,
Taaningichthys minimus,31°44'N,120°07'W,"Circumglobal, western Pacific Ocean north to Ogasawara Islands, Japan, southern California to well off Peru","0–5,041 m",,,,
Taaningichthys paurolychnus,35°18.7'N;24°39.6'N,123°05.5'W;113°17.9'W,"Circumglobal, western Pacific Ocean north to Ogasawara Islands, Japan, central California to southern Baja California","200–4,098 m",,,,
Tarletonbeania crenularis,25°34'N,115°05'W,"South of Commander Islands and Aleutian Islands to Gulf of Alaska to southern Baja California, probably also in Bering Sea","surface–4,335 m",,,,
Tarletonbeania taylori,43°58'N,176°24'W,"Northern Honshu, Japan, and Russian north-western Pacific, to south-eastern Bering Sea, and Pacific Ocean south of Alaska, and west of British Columbia, to off Oregon","surface–1,500 m",,,,
Triphoturus mexicanus,NA,NA,"British Columbia to off southern Mexico, including Gulf of California","surface–4,100 m",,,,
Triphoturus nigrescens,23°00.6'N,NA,"Indo-Pacific, western Pacific Ocean north to Japan, northern California to southern Baja California","surface–3,000 m",,,,
Lampris incognitus,NA,NA,"Central and eastern North Pacific Ocean from at least Washington to well offshore south and east of Cabo San Lucas, Baja California",near surface–736 m,,,,
Lampris megalopsis,NA,NA,"Circumglobal, at least California and Chile",surface–736 m,,,,
Lophotus capellei,NA,NA,"Possibly Circumglobal, well offshore, to 610 km off Point Arena, northern California and near coast to San Diego, southern California","surface–1,100 m",,,,
Desmodema lorum,44°26'N,155°05'W,"Japan, southern Kuril Islands, southern Oregon to Peru, including Gulf of California","30–1,162 m",,,,
Trachipterus altivelis,NA,NA,South-eastern Bering Sea and Gulf of Alaska to Chile,"surface–1,231 m",,,,
Trachipterus fukuzakii,NA,NA,"Just north of San Francisco, northern California to Chile, including Gulf of California",5–NA,,,,
Zu cristatus,34°53'N,124°30'W,"Circumglobal, western Pacific Ocean north to Japan, central California to Chile and Islas Galápagos","surface–1,200 m",,,,
Regalecus russelii,34°41'N,120°36'W,"Western Pacific Ocean off Japan, Surf, California to Panama",epipelagic and mesopelagic,,,,
Stylephorus chordatus,32°N,124°W,"Circumglobal, Yaquina Head, Oregon to well offshore San Diego","surface–5,041 m",,,,
Bregmaceros bathymaster,22°27'N,110°59'W,"Off Bahía Magdalena, southern Baja California to Chile, including Gulf of California","surface–2,300 m",,,,
Coelorinchus scaphopsis,41°14'N,124°24'W,Northern California to the Gulf of California,"166–1,158 m",,,,
Coryphaenoides acrolepis,28°51'N,115°46.7'W,"Sea of Okhotsk and Pacific Ocean off Japan, to southern Bering Sea and Aleutian Islands, to near central Baja California mainland, and Isla Guadalupe, central Baja California, southwest Atlantic near Falkland Islands","38–3,700 m",,,,
Coryphaenoides anguliceps,30°49.2'N,NA,"Northern Baja California, Gulf of California to northern Chile, and Islas Galápagos","153–2,418 m",,,,
Coryphaenoides armatus,NA,NA,"All oceans except central Arctic, western Pacific Ocean north to Japan Trench, south-eastern Bering Sea and Pacific Ocean south of Aleutian Islands to Chile","664–5,900 m",,,,
Coryphaenoides capito,26°37.2'N,NA,"Southern Baja California, Gulf of California, to northern Peru","116–1,520 m",,,,
Coryphaenoides cinereus,33°23'N,NA,"Northern Japan and southern Sea of Okhotsk, to Navarin Canyon, Bering Sea, to southern California","135–2,832 m",,,,
Coryphaenoides filifer,58°36'N,177°57'W,"Bering Sea, Aleutian Islands to northern British Columbia, central California","374-3,658 m",,,,
Coryphaenoides leptolepis,NA,NA,"Atlantic and Pacific Oceans, western Pacific Ocean north to Japan, Gulf of Alaska, northern British Columbia to southern Baja California","145-4,300 m",,,,
Coryphaenoides longifilis,58°32'N,176°50'W,"southern Japan, Sea of Okhotsk, central Bering Sea, south Pacific Ocean","508-3,000 m",,,,
Coryphaenoides pectoralis,NA,NA,"Sea of Okhotsk, Kuril Islands, northern Honshu, Bering Sea to northern Baja California, Isla Guadalupe, Falkland Islands","140-3,500 m",,,,
Coryphaenoides yaquinae,NA,NA,"North Pacific, eastern south Atlantic Oceans, Japan Trench, Kuril Islands, offshore of Oregon to equator","about 1,902-7,012 m",,,,
Malacocephalus laevis,NA,NA,"Circumglobal, Point Sur, central California to Baja California, Chile","50-1,200 m",,,,
Mesovagus berryi,NA,NA,"Circumglobal, southern California to southern Baja California, Hawai'i, Christmas Island","surface to 2,700 m",,,,
Nezumia convergens,28°40.2'N,NA,"central Baja California, Gulf of California to southern Chile","139-1,870 m",,,,
Nezumia kensmithi,32°28'N,127°47'W,Fieberling Guyot,555 m,,,,
Nezumia liolepis,47°49'N,125°25'W,"southern Washington to Panama, including Gulf of California","153-1,655 m",,,,
Nezumia stelgidolepis,NA,NA,"Vancouver Island, British Columbia to northern Chile","116-1,418 m",,,,
Pseudonezumia occidentalis,NA,NA,"off Cape Mendocino, northern California; Peru","about 4,300-4,334 m",,,,
Antimora microlepis,NA,NA,"southern Japan to Sea of Okhotsk, Bering Sea, Gulf of Alaska, Gulf of California","about 61-3,408 m",,,,
Halargyreus johnsonii,NA,NA,"Circumglobal, western Pacific Ocean, Sea of Okhotsk, eastern Bering Sea, Gulf of Alaska to central California, Chile","450-3,111 m",,,,
Laemonema longipes,NA,NA,"southern Japan, Sea of Okhotsk, Kuril Islands, southeastern Kamchatka, northern Bering Sea, Aleutian Islands","80-2,025 m",,,,
Laemonema verecundum,24°19.8'N,NA,"southern Baja California to about 15°N, Isla Clarión, Islas Revillagigedo, Mexico","137 m to perhaps 2,287 m",,,,
Lepidion schmidti,NA,NA,"Atlantic and Pacific Oceans, possibly southern Indian Ocean, Emperor Seamounts, Pacific off southern Japan, Sea of Okhotsk, western Bering Sea","315-2,404 m",,,,
Physiculus nematopus,NA,NA,"Monterey Bay, central California to Paita, Peru, including Gulf of California, Islas Galápagos","surface to 1,270 m",,,,
Physiculus rastrelliger,45°30'N,124°48'W,"Oregon to northern Peru, including Gulf of California","21-1,369 m",,,,
Physiculus talarae,NA,NA,"central Baja California to Peru, not in Gulf of California",surface to 330 m,,,,
Melanonus zugmayeri,NA,NA,"Circumglobal, western Pacific Ocean, near Alaska, southern British Columbia, northern Washington to southern California, northern Chile","0-3,000 m",,,,
Merluccius productus,54°43'N,165°42'W,"Attu Island, Aleutian Islands, eastern Bering Sea, Gulf of Alaska to Bahía Magdalena, southern Baja California, Gulf of California, Colombia, Islas Revillagigedo","12-1,437 m",,,,
Arctogadus glacialis,NA,NA,"Circumpolar as far northward as 81°41'N, Beaufort Sea, Chukchi coast near Wainwright, Alaska",0-930 m,,,,
Boreogadus saida,NA,NA,"Circumpolar in Arctic, Arctic Siberia to Cape Olyutorskiy, Beaufort Sea to Bristol Bay","surface to at least 1,390 m",,,,
Eleginus gracilis,NA,NA,"North Pacific Ocean, Yellow Sea to East Siberian Sea, Simpson Strait, Beaufort, Chukchi, Bering Seas, Gulf of Alaska to Sitka",to continental shelf edge at 200 m or 360 m,,,,
Gadus chalcogrammus,NA,NA,"Pacific and Atlantic Oceans, western Pacific Ocean, Beaufort Sea, Bering Sea, Gulf of Alaska to central California","intertidal to 1,280 m",,,,
Gadus macrocephalus,NA,NA,"Arctic-boreal waters of Pacific and Atlantic Oceans, Chukchi and Beaufort Seas, Yellow Sea to Bering Sea, Aleutian Islands, Gulf of Alaska to southern California","intertidal, near surface to 1,280 m",,,,
Microgadus proximus,NA,NA,"southeastern Bering Sea, eastern Aleutian Islands to central California","near surface, intertidal to 310 m",,,,
Lota lota,NA,NA,"Circumpolar, to southeastern Alaska",0.3-300 m,,,,
Echiodon exsilium,NA,NA,"tropical eastern Pacific Ocean, southern Baja California to Colombia, including Gulf of California, Islas Galápagos",5-161 m,,,,
Acanthonus armatus,NA,NA,"Circumglobal, western Pacific Ocean, near Triangle Island, British Columbia, Gulf of Panama","1,171-4,415 m",,,,
Bassozetus levistomatus,34°40'N,125°05'W,central California,"3,965-5,200 m",,,,
Bassozetus nasus,34°50'N,123°00'W,"central California to Central America, near Hawai'i","2,068-5,000 m",,,,
